,num1,num2,sz1,sz2,img1,img2
0,7,1,5,9,339,341
1,8,5,4,8,283,22
2,2,1,6,9,171,282
3,5,8,3,9,476,148
4,7,1,9,8,437,471
5,2,7,7,6,81,38
6,1,7,8,9,433,49
7,6,2,3,6,166,10
8,5,3,7,4,120,109
9,6,2,7,8,466,100
10,4,1,4,8,83,140
11,5,3,8,9,152,324
12,3,5,8,4,440,218
13,4,7,5,8,401,292
14,4,6,5,3,280,423
15,2,4,8,6,441,237
16,3,6,5,9,40,409
17,7,3,8,3,297,26
18,5,3,9,8,59,422
19,2,5,8,4,64,427
20,4,3,7,5,427,376
21,5,4,5,6,277,196
22,6,1,4,3,87,282
23,2,8,7,9,51,388
24,7,2,6,7,0,121
25,6,8,4,6,94,4
26,8,6,6,9,19,156
27,5,7,5,7,133,358
28,8,5,5,3,135,403
29,1,5,7,8,64,385
30,8,2,7,8,462,194
31,1,3,4,5,177,157
32,6,8,7,5,417,59
33,3,2,6,3,268,14
34,8,5,7,9,295,209
35,8,4,5,6,404,438
36,7,8,6,3,33,8
37,8,5,8,5,278,285
38,8,4,5,4,92,134
39,8,4,4,8,45,391
40,2,4,3,4,462,34
41,6,4,6,4,421,283
42,5,1,7,5,123,140
43,8,3,5,6,405,208
44,3,6,5,4,432,376
45,5,2,9,6,64,446
46,3,2,7,5,359,143
47,1,4,8,9,301,481
48,7,4,6,8,103,289
49,4,8,8,3,361,205
50,7,3,8,7,62,156
51,8,4,4,5,347,420
52,5,3,5,4,272,401
53,1,8,8,4,176,264
54,7,2,5,6,95,73
55,7,2,8,6,239,74
56,1,7,7,9,407,149
57,6,7,7,8,223,456
58,2,5,3,6,466,28
59,8,3,3,8,449,445
60,4,2,3,9,43,150
61,3,1,8,9,306,464
62,8,7,3,6,497,168
63,1,3,4,6,419,286
64,1,4,8,3,392,294
65,2,8,3,7,459,250
66,7,5,3,4,308,474
67,8,4,4,9,32,133
68,4,2,4,5,226,1
69,8,6,3,7,240,242
70,8,6,4,5,437,225
71,6,7,8,4,441,195
72,3,8,6,9,218,362
73,5,4,5,4,176,75
74,2,8,7,3,164,499
75,4,8,4,3,262,164
76,2,3,6,4,369,344
77,8,2,3,4,27,12
78,6,8,5,3,415,16
79,5,7,9,5,64,275
80,4,8,5,6,412,172
81,5,7,6,8,491,324
82,2,1,3,5,432,288
83,3,7,7,8,204,163
84,2,3,7,8,188,161
85,6,8,3,8,57,479
86,2,5,6,4,122,74
