,0
0,21365
1,14501
2,31956
3,40150
4,3290
5,19882
6,10336
7,23943
8,18918
9,5692
10,1904
11,39868
12,17274
13,30516
14,9966
15,37031
16,36180
17,21256
18,3392
19,14401
20,28347
21,36978
22,27283
23,11140
24,34602
25,21257
26,26492
27,9311
28,29557
29,33497
30,6106
31,38459
32,18188
33,15821
34,39243
35,27355
36,43139
37,17787
38,11013
39,40021
40,17152
41,37548
42,24381
43,23829
44,9455
45,17596
46,1365
47,30299
48,24579
49,20133
50,35158
51,38302
52,24457
53,19178
54,14670
55,41184
56,5812
57,20374
58,25794
59,6724
60,24454
61,30450
62,14578
63,15411
64,37199
65,9460
66,30761
67,33901
68,22086
69,10842
70,28100
71,13447
72,17802
73,41160
74,20985
75,25790
76,39230
77,6021
78,11163
79,36402
80,24464
81,21588
82,28102
83,17309
84,31818
85,27552
86,35902
87,28260
88,28083
89,22789
90,35962
91,8017
92,5147
93,2014
94,41646
95,21568
96,22569
97,40037
98,11037
99,37542
